Name                                                                                                          Stmts   Miss  Cover
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/pythonrational.py                          8      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/pythonrationalfield.py                    40     19    52%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/rationalfield.py                          69     13    81%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/realfield.py                              82     20    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/ring.py                                   50     23    54%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/simpledomain.py                            7      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/euclidtools.py                                   668    212    68%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/factortools.py                                   750    273    64%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/fglmtools.py                                      79     71    10%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/fields.py                                        429    213    50%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/galoistools.py                                   721    401    44%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/groebnertools.py                                 374    341     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/heuristicgcd.py                                   63      5    92%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/__init__.py                               2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/_typing.py                                8      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/ddm.py                                  263    186    29%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/dense.py                                204    151    26%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/domainmatrix.py                         396    188    53%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/domainscalar.py                          78     44    44%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/eigen.py                                 53     44    17%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/exceptions.py                            21      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/linsolve.py                             100     49    51%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/lll.py                                   79     72     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/normalforms.py                          157    145     8%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/matrices/sdm.py                                  494    124    75%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/monomials.py                                     255    119    53%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/numberfields/__init__.py                           7      0   100%
